x,time,u
0.000000,0.200000,0.000123
0.010000,0.200000,0.000123
0.020000,0.200000,0.000123
0.030000,0.200000,0.000123
0.040000,0.200000,0.000123
0.050000,0.200000,0.000123
0.060000,0.200000,0.000123
0.070000,0.200000,0.000123
0.080000,0.200000,0.000123
0.090000,0.200000,0.000124
0.100000,0.200000,0.000124
0.110000,0.200000,0.000126
0.120000,0.200000,0.000129
0.130000,0.200000,0.000136
0.140000,0.200000,0.000149
0.150000,0.200000,0.000175
0.160000,0.200000,0.000222
0.170000,0.200000,0.000304
0.180000,0.200000,0.000441
0.190000,0.200000,0.000664
0.200000,0.200000,0.001018
0.210000,0.200000,0.001566
0.220000,0.200000,0.002397
0.230000,0.200000,0.003628
0.240000,0.200000,0.005422
0.250000,0.200000,0.007986
0.260000,0.200000,0.011584
0.270000,0.200000,0.016547
0.280000,0.200000,0.023269
0.290000,0.200000,0.032214
0.300000,0.200000,0.043905
0.310000,0.200000,0.058912
0.320000,0.200000,0.077827
0.330000,0.200000,0.101230
0.340000,0.200000,0.129646
0.350000,0.200000,0.163495
0.360000,0.200000,0.203030
0.370000,0.200000,0.248283
0.380000,0.200000,0.299010
0.390000,0.200000,0.354647
0.400000,0.200000,0.414285
0.410000,0.200000,0.476665
0.420000,0.200000,0.540206
0.430000,0.200000,0.603055
0.440000,0.200000,0.663171
0.450000,0.200000,0.718434
0.460000,0.200000,0.766760
0.470000,0.200000,0.806239
0.480000,0.200000,0.835257
0.490000,0.200000,0.852606
0.500000,0.200000,0.857568
0.510000,0.200000,0.849963
0.520000,0.200000,0.830163
0.530000,0.200000,0.799059
0.540000,0.200000,0.757994
0.550000,0.200000,0.708670
0.560000,0.200000,0.653031
0.570000,0.200000,0.593136
0.580000,0.200000,0.531039
0.590000,0.200000,0.468672
0.600000,0.200000,0.407758
0.610000,0.200000,0.349741
0.620000,0.200000,0.295746
0.630000,0.200000,0.246571
0.640000,0.200000,0.202691
0.650000,0.200000,0.164291
0.660000,0.200000,0.131312
0.670000,0.200000,0.103495
0.680000,0.200000,0.080442
0.690000,0.200000,0.061661
0.700000,0.200000,0.046615
0.710000,0.200000,0.034757
0.720000,0.200000,0.025561
0.730000,0.200000,0.018542
0.740000,0.200000,0.013268
0.750000,0.200000,0.009366
0.760000,0.200000,0.006522
0.770000,0.200000,0.004480
0.780000,0.200000,0.003037
0.790000,0.200000,0.002031
0.800000,0.200000,0.001340
0.810000,0.200000,0.000872
0.820000,0.200000,0.000560
0.830000,0.200000,0.000355
0.840000,0.200000,0.000222
0.850000,0.200000,0.000137
0.860000,0.200000,0.000084
0.870000,0.200000,0.000050
0.880000,0.200000,0.000030
0.890000,0.200000,0.000017
0.900000,0.200000,0.000010
0.910000,0.200000,0.000006
0.920000,0.200000,0.000003
0.930000,0.200000,0.000002
0.940000,0.200000,0.000001
0.950000,0.200000,0.000001
0.960000,0.200000,0.000000
0.970000,0.200000,0.000000
0.980000,0.200000,0.000000
0.990000,0.200000,0.000000
