x,time,u
0.000000,0.500000,0.000000
0.010000,0.500000,-0.265322
0.020000,0.500000,-0.533122
0.030000,0.500000,-0.803112
0.040000,0.500000,-1.075000
0.050000,0.500000,-1.348488
0.060000,0.500000,-1.623276
0.070000,0.500000,-1.899057
0.080000,0.500000,-2.175523
0.090000,0.500000,-2.452361
0.100000,0.500000,-2.729258
0.110000,0.500000,-3.005896
0.120000,0.500000,-3.281956
0.130000,0.500000,-3.557117
0.140000,0.500000,-3.831059
0.150000,0.500000,-4.103459
0.160000,0.500000,-4.373995
0.170000,0.500000,-4.642345
0.180000,0.500000,-4.908188
0.190000,0.500000,-5.171202
0.200000,0.500000,-5.431070
0.210000,0.500000,-5.687475
0.220000,0.500000,-5.940101
0.230000,0.500000,-6.188638
0.240000,0.500000,-6.432778
0.250000,0.500000,-6.672214
0.260000,0.500000,-6.906647
0.270000,0.500000,-7.135781
0.280000,0.500000,-7.359324
0.290000,0.500000,-7.576991
0.300000,0.500000,-7.788501
0.310000,0.500000,-7.993580
0.320000,0.500000,-8.191961
0.330000,0.500000,-8.383383
0.340000,0.500000,-8.567592
0.350000,0.500000,-8.744343
0.360000,0.500000,-8.913398
0.370000,0.500000,-9.074528
0.380000,0.500000,-9.227510
0.390000,0.500000,-9.372135
0.400000,0.500000,-9.508199
0.410000,0.500000,-9.635517
0.420000,0.500000,-9.753920
0.430000,0.500000,-9.863281
0.440000,0.500000,-9.963563
0.450000,0.500000,-10.054927
0.460000,0.500000,-10.137937
0.470000,0.500000,-10.213900
0.480000,0.500000,-10.285280
0.490000,0.500000,-10.355945
0.500000,0.500000,-10.430703
0.510000,0.500000,-10.513419
0.520000,0.500000,-10.603512
0.530000,0.500000,-10.692226
0.540000,0.500000,-10.762165
0.550000,0.500000,-10.793799
0.560000,0.500000,-10.778061
0.570000,0.500000,-10.725934
0.580000,0.500000,-10.662853
0.590000,0.500000,-10.607555
0.600000,0.500000,-10.555172
0.610000,0.500000,-10.486270
0.620000,0.500000,-10.393191
0.630000,0.500000,-10.287933
0.640000,0.500000,-10.180244
0.650000,0.500000,-10.062676
0.660000,0.500000,-9.927378
0.670000,0.500000,-9.780529
0.680000,0.500000,-9.627111
0.690000,0.500000,-9.461213
0.700000,0.500000,-9.281475
0.710000,0.500000,-9.093147
0.720000,0.500000,-8.894455
0.730000,0.500000,-8.682877
0.740000,0.500000,-8.461882
0.750000,0.500000,-8.230783
0.760000,0.500000,-7.987947
0.770000,0.500000,-7.735851
0.780000,0.500000,-7.473524
0.790000,0.500000,-7.200645
0.800000,0.500000,-6.918793
0.810000,0.500000,-6.626781
0.820000,0.500000,-6.325524
0.830000,0.500000,-6.015272
0.840000,0.500000,-5.695642
0.850000,0.500000,-5.367666
0.860000,0.500000,-5.030830
0.870000,0.500000,-4.685902
0.880000,0.500000,-4.332867
0.890000,0.500000,-3.972023
0.900000,0.500000,-3.603763
0.910000,0.500000,-3.228151
0.920000,0.500000,-2.845726
0.930000,0.500000,-2.456535
0.940000,0.500000,-2.061113
0.950000,0.500000,-1.659579
0.960000,0.500000,-1.252416
0.970000,0.500000,-0.839835
0.980000,0.500000,-0.422263
0.990000,0.500000,0.000000
